2022-12-05 14:25:12.687 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [edu.whu.learneur.LearneurApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-12-05 14:25:12.688 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [edu.whu.learneur.LearneurApplicationTests]: LearneurApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-12-05 14:25:12.828 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration edu.whu.learneur.LearneurApplication for test class edu.whu.learneur.LearneurApplicationTests
2022-12-05 14:25:12.972 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-12-05 14:25:12.997 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4c012563, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@14a50707, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4d518b32, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4bd31064, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@e3c0e40, org.springframework.test.context.support.DirtiesContextTestExecutionListener@329dbdbf, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7354b8c5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@20d7d6fb, org.springframework.test.context.event.EventPublishingTestExecutionListener@4ef782af, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@11d8ae8b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@479cbee5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@59e2d8e3, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2b72cb8a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7f8a9499, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5d43661b]
2022-12-05 14:25:13.361 [main] INFO  edu.whu.learneur.LearneurApplicationTests - Starting LearneurApplicationTests using Java 1.8.0_102 on LAPTOP-DRBT65OB with PID 15856 (started by Akihabara in D:\360MoveData\Users\Akihabara\OneDrive\桌面\大三\JavaEE大作业\Learneur\learneur)
2022-12-05 14:25:13.362 [main] INFO  edu.whu.learneur.LearneurApplicationTests - No active profile set, falling back to 1 default profile: "default"
2022-12-05 14:25:14.122 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2022-12-05 14:25:14.124 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-12-05 14:25:14.154 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17 ms. Found 0 Redis repository interfaces.
2022-12-05 14:25:17.365 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static org.springframework.core.env.Environment edu.whu.learneur.utils.CodeUtils.env
2022-12-05 14:25:17.880 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@14e750c5, org.springframework.security.web.session.ForceEagerSessionCreationFilter@242ff747, org.springframework.security.web.session.ForceEagerSessionCreationFilter@36d582cb, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5329f6b3, org.springframework.security.web.context.SecurityContextPersistenceFilter@255d9277, org.springframework.security.web.header.HeaderWriterFilter@755a7218, org.springframework.security.web.authentication.logout.LogoutFilter@3de79067, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2ce524d2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@788e3702, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@597d48ca, org.springframework.security.web.session.SessionManagementFilter@2c8b8de0, org.springframework.security.web.access.ExceptionTranslationFilter@2017f6e6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7dbae40]
2022-12-05 14:25:19.434 [main] INFO  edu.whu.learneur.LearneurApplicationTests - Started LearneurApplicationTests in 6.397 seconds (JVM running for 7.915)
